Non-Counted Role Played,Count #
Denny Dillon,member,6
Gail Matthius,member,6
Charles Rocket,member,6
Gail Matthius,Brooke Shields,6
Jamie Lee Curtis,Laurie,6
Gail Matthius,roommate,6
Neil Levy,passerby,6
Eddie Murphy,performer,6
Joe Piscopo,Paulie Herman,6
Charles Rocket,police officer,6
Jamie Lee Curtis,Anna Louise Ryder,6
Gail Matthius,Dianne Pierpont,6
Ann Risley,Grace,6
Denny Dillon,Woodswoman,6
Gail Matthius,queen card,6
Ann Risley,Janice,6
Gail Matthius,Brooke Shields,6
Jamie Lee Curtis,waitress,6
Gilbert Gottfried,Rodriguez,6
Matthew Laurance,Pendleton,6
Joe Piscopo,hotel owner,6
Patrick Weathers,Higgins,6
Danny DeVito,Adrian,6
William Duff-Griffin,Fletcher,6
Jamie Lee Curtis,Sushi Raw,6
Denny Dillon,Nadine,6
Gail Matthius,Roweena,6
Gail Matthius,Brooke Shields,6
Jamie Lee Curtis,Joyce Shrepnel,6
Ann Risley,Camille Black,6
Charles Rocket,David Rockefeller,6
Denny Dillon,Pinky Waxman,6
Gilbert Gottfried,Leo Waxman,6
Joe Piscopo,Paulie Herman,6
Eddie Murphy,Raheem Abdul Muhammed,6
Gilbert Gottfried,Dr. Calvin Zuko,6
Charles Rocket,Bob,6
Patrick Weathers,sniper,6
Gilbert Gottfried,Pepe Gonzales,6
Denny Dillon,Debbie,6
Gail Matthius,Vickie,6
Ellen Burstyn,Ms. Hegdewick,6
Denny Dillon,Mary Louise,6
Ann Risley,Audrey,6
Denny Dillon,Jean Harris,6
Yvonne Hudson,lawyer,6
Ann Risley,Toni Tennille,6
Patrick Weathers,guard,6
Ellen Burstyn,old lady,6
Gilbert Gottfried,prisoner,6
Andy Murphy,bailiff,6
Joe Piscopo,executioner,6
Joe Piscopo,Jim Fowler,6
Charles Rocket,Marlin Perkins,6
Gilbert Gottfried,Joseph Richman,6
Malcolm McDowell,Earl,6
Neil Levy,serf,6
Gail Matthius,Moondoggy,6
Ann Risley,Bingo,6
Charles Rocket,Lord Jack,6
Denny Dillon,Amy Carter,6
Gail Matthius,Nancy Reagan,6
Charles Rocket,Ronald Reagan,6
Malcolm McDowell,Alex de Large,6
Malcolm McDowell,John Lennon,6
Denny Dillon,Yoko Ono,6
Gilbert Gottfried,Dr. Murray Abromowitz,6
Malcolm McDowell,owner,6
Denny Dillon,Thelma Thunder,6
Charles Rocket,John,6
Malcolm McDowell,governor,6
Gilbert Gottfried,hunter,6
Andy Murphy,hunter,6
Joe Piscopo,Jim Bob,6
Charles Rocket,Uncle Lester,6
Malcolm McDowell,Dame Lydia Snoot,6
Denny Dillon,Dr. Woofta,6
Gilbert Gottfried,old lady,6
Joe Piscopo,Carl XVI Gustaf,6
Charles Rocket,Prince Charles,6
Denny Dillon,Carolyn Parker,6
Denny Dillon,Amy Carter,6
Joe Piscopo,Jimmy Carter,6
Ann Risley,Rosalynn Carter,6
Charles Rocket,delivery man,6
Denny Dillon,Pinky Waxman,6
Gilbert Gottfried,Leo Waxman,6
Joe Piscopo,John Anderson,6
Andy Murphy,police officer,6
Denny Dillon,campaigner,6
Liz Welch,campaigner,6
Neil Levy,photographer,6
Gilbert Gottfried,Barry Grosscup,6
Elliott Gould,Tom Morris,6
Joe Piscopo,Sergeant Steve Brick,6
Charles Rocket,Corporal Peter Thomas,6
Elliott Gould,Scottie Bockman,6
Gilbert Gottfried,referee,6
Neil Levy,photographer,6
Andy Murphy,coach,6
Charles Rocket,James Walker,6
Elliott Gould,Mark Doyle,6
Gail Matthius,Vickie,6
Ann Risley,Sharon Malone,6
Gail Matthius,Gail,6
Ann Risley,Susan,6
Charles Rocket,Chuck LeVinto,6
Jim Downey,George Bush,5
Bill Murray,Ted Kennedy,5
Paul Shaffer,Oliver Selenko,5
Harry Shearer,Frank Reynolds,5
Matt Neuman,Carl Quackenbush,5
Don Pardo,Ron Waldo,5
Liz Welch,Lucy Lawler,5
Walter Williams,Gary Lipton,5
Buck Henry,Lord Douchebag,5
Anne Beatts,Lady Disinfectant Cake,5
Jane Curtin,Lady Wilkinson,5
Tom Davis,Lord Wilkinson,5
Jim Downey,Lord Worcestershire,5
Brian Doyle-Murray,Chambers,5
Tom Gammill,server,5
Garrett Morris,crier,5
Bill Murray,Earl of Sandwich,5
Sarah Paley,Duchess of Argyle,5
Gilda Radner,Lady Douchebag,5
Harry Shearer,Lord Salisbury,5
Alan Zweibel,Duke of Argyle,5
Joe Dicso,stage manager,5
Garrett Morris,emcee,5
Bill Murray,Do Little,5
Laraine Newman,Govinda Lynn,5
Gilda Radner,Buffy Sainte-Marie,5
Harry Shearer,Jack Perkins,5
Richard Belzer,museum visitor,5
Nil Nichols,museum visitor,5
Andy Murphy,museum visitor,5
Garrett Morris,Chico Escuela,5
Gilda Radner,Roseanne Roseannadanna,5
Buck Henry,Uncle Roy,5
Jane Curtin,Betty,5
Laraine Newman,Terri,5
Gilda Radner,Tracy,5
Buck Henry,Richard Posniak,5
Jane Curtin,Iris de Flaminio,5
Al Franken,Joe Daddy,5
Garrett Morris,Farrell Jones,5
Bill Murray,Nick,5
Laraine Newman,Lenora Posniak,5
Gilda Radner,Kathy Gorley,5
Akira Yoshimura,Prince Amanawahu,5
Buck Henry,Hugh Gaffney,5
Jane Curtin,Countess Luciana Palermo,5
Garrett Morris,Leon Satin,5
Bill Murray,Paul Heverly,5
Harry Shearer,Dick Drake,5
Buck Henry,hunter,5
Peter Aykroyd,hunter,5
Tom Davis,hunter,5
Jim Downey,hunter,5
Brian Doyle-Murray,hunter,5
Al Franken,hunter,5
Bill Murray,hunter,5
Don Novello,Father Guido Sarducci,5
Steve Martin,Chet Napes,5
Jane Curtin,Lucia Newell,5
Jim Downey,audience member,5
Tom Gammill,audience member,5
Garrett Morris,Willis Gaston,5
Bill Murray,Bob Lylo,5
Laraine Newman,Marsha Craven,5
Max Pross,audience member,5
Gilda Radner,Amelia Kane,5
Harry Shearer,Buddy Bishop,5
Steve Martin,Phillip,5
Jane Curtin,Sadie,5
Bill Murray,Franklin,5
Laraine Newman,tenant,5
Gilda Radner,Ruth,5
Harry Shearer,tenant,5
Don Novello,Father Guido Sarducci,5
Steve Martin,caveman,5
Brian Doyle-Murray,caveman,5
Al Franken,caveman,5
Garrett Morris,caveman,5
Bill Murray,Okna,5
Laraine Newman,Weena,5
Gilda Radner,cavewoman,5
Don Novello,Father Guido Sarducci,5
Steve Martin,Ed,5
Jane Curtin,Nancy Reagan,5
Brian Doyle-Murray,waiter,5
Bill Murray,Niles,5
Laraine Newman,Stephanie,5
Harry Shearer,Ronald Reagan,5
Gilda Radner,Patti Caldwell,5
Steve Martin,deer,5
Jane Curtin,motorist,5
Tom Davis,deer,5
Al Franken,motorist,5
Garrett Morris,cow,5
Bill Murray,deer,5
Gilda Radner,deer,5
Laraine Newman,Mie,5
Gilda Radner,Kei,5
Paul Shaffer,Marvin Hamlisch,5
Harry Shearer,Carl Sagan,5
Bob Newhart,Don Johnson,5
Jane Curtin,Iris de Flaminio,5
Bill Murray,Jim Lange,5
Laraine Newman,Shonda The Cat Lady,5
Gilda Radner,Colleen Fernman,5
Harry Shearer,Rod Serling,5
Bob Newhart,Jonathan Jessup,5
Peter Aykroyd,Jeremy Travers,5
Bill Murray,Frank,5
Gilda Radner,Mrs. Travers,5
Bob Newhart,Dave,5
Jane Curtin,Mrs. Parker,5
Bill Murray,Pete,5
Laraine Newman,Ruth,5
Gilda Radner,Betty,5
Paul Shaffer,Isaac Stern's nephew,5
Walter Williams,Miss Sally,5
Walter Williams,Mr. Bill,5
Walter Williams,Mr. Hands,5
Bob Newhart,Stan,5
Jane Curtin,Nadine,5
Brian Doyle-Murray,waiter,5
Tom Davis,Secret Service agent,5
Laraine Newman,Rosalynn Carter,5
Nil Nichols,Secret Service agent,5
Gilda Radner,Rosa Santangelo,5
Strother Martin,Le Capitan,5
Peter Aykroyd,camper,5
Jane Curtin,Claire,5
Tom Davis,hunter,5
Brian Doyle-Murray,Mr. Honeycutt,5
Tom Gammill,camper,5
Lee Mayman,camper,5
Garrett Morris,Alvin Williams,5
Bill Murray,Luke Johnson,5
Laraine Newman,dialogue tape narrator,5
Nil Nichols,hunter,5
Sarah Paley,camper,5
Gilda Radner,camper,5
Tom Schiller,camper,5
Tom Davis,G. Gordon Liddy,5
Garrett Morris,Chico Escuela,5
Strother Martin,Russell McBain,5
Anne Beatts,makeup artist,5
Jane Curtin,Lolly,5
Garrett Morris,Seth,5
Bill Murray,Junior McBain,5
Matt Neuman,Phil,5
Laraine Newman,Judy,5
Sarah Paley,orderly,5
Gilda Radner,Vira McBain,5
Tom Schiller,Juan,5
Rosie Schuster,hair stylist,5
Paul Shaffer,John,5
Harry Shearer,Floyd,5
Al Siegal,cue card holder,5
Alan Zweibel,Bob,5
Strother Martin,Ben,5
Tom Davis,Frank,5
Brian Doyle-Murray,Ted Garby,5
Garrett Morris,Nelson Morton,5
Bill Murray,Hank,5
Paul Shaffer,member,5
Harry Shearer,George,5
Alan Zweibel,Dwayne Fiedler,5
Strother Martin,Lucius Kilroy,5
Anne Beatts,volunteer,5
Jane Curtin,volunteer,5
Tom Davis,Carl,5
Brian Doyle-Murray,volunteer,5
Tom Gammill,volunteer,5
Garrett Morris,L.C.,5
Andy Murphy,volunteer,5
Bill Murray,Bob,5
Laraine Newman,Sue,5
Sarah Paley,volunteer,5
Don Pardo,news anchor,5
Max Pross,volunteer,5
Gilda Radner,Marcia,5
Paul Shaffer,volunteer,5
Harry Shearer,Steve,5
Strother Martin,druggist,5
Brian Doyle-Murray,Coach Johnson,5
Harry Shearer,newspaper editor,5
Jane Curtin,Jean,5
Garrett Morris,Morty,5
Bill Murray,Bob,5
Laraine Newman,Leanne,5
Gilda Radner,Marty,5
Burt Reynolds,Roman,5
Jane Curtin,Roman,5
Tom Davis,Roman,5
Brian Doyle-Murray,Roman,5
Al Franken,Roman,5
Garrett Morris,Marcus The Nubian,5
Bill Murray,slave,5
Laraine Newman,Anorexia,5
Max Pross,Roman,5
Harry Shearer,Roman,5
Don Novello,Father Guido Sarducci,5
Burt Reynolds,Lewis,5
Jane Curtin,Anita Bryant,5
Tom Davis,police chief,5
Garrett Morris,Julian,5
Harry Shearer,Lyle,5
Laraine Newman,reader,5
Jane Curtin,Mrs. Klein,5
Brian Doyle-Murray,Mr. Klein,5
Garrett Morris,Pepper,5
Bill Murray,Steve,5
Laraine Newman,Jennifer Klein,5
Gilda Radner,Pepper,5
Rosie Schuster,pepper,5
Paul Shaffer,Pepper,5
Harry Shearer,Pepper,5
Paula Prentiss,Ruth Carter Stapleton,5
Bill Murray,Daniel Lahey,5
Harry Shearer,Frank Reynolds,5
Paula Prentiss,Debbie's mother,5
Laraine Newman,Rochelle,5
Gilda Radner,Debbie Nimrod,5
Richard Benjamin,Ron,5
Garrett Morris,bellhop,5
Laraine Newman,Karen,5
Harry Shearer,Vic Ricker,5
Paula Prentiss,Bea,5
Jane Curtin,Iris de Flaminio,5
Laraine Newman,Christy Christina,5
Gilda Radner,Bobbi Farber,5
Richard Benjamin,Steve,5
Walter Williams,Miss Sally,5
Walter Williams,Mr. Bill,5
Walter Williams,Mr. Hands,5
Carrie Fisher,leprechaun,5
Peter Aykroyd,Sean,5
Jane Curtin,leprechaun,5
Brian Doyle-Murray,leprechaun,5
Franne Lee,leprechaun,5
Lee Mayman,leprechaun,5
Laraine Newman,leprechaun,5
Paul Shaffer,leprechaun,5
Harry Shearer,leprechaun,5
Jane Curtin,Enid Loopner,5
Garrett Morris,Grant Robinson Jr.,5
Bill Murray,Todd DiLaMuca,5
Laraine Newman,Belinda,5
Gilda Radner,Lisa Loopner,5
Paul Shaffer,Artie,5
Harry Shearer,Shelly Fabish,5
Gilda Radner,Roseanne Roseannadanna,5
John Belushi,Eleanor Gaunt,5
Bill Murray,Swanken,5
Laraine Newman,servant,5
Michael Palin,Dirk Savage,5
Jane Curtin,Rula Lenska,5
Garrett Morris,Julian Carver,5
Peter Aykroyd,wino,5
Garrett Morris,Curtis,5
Bill Murray,Honker,5
Alan Zweibel,passerby,5
Paul Simon,Len Madrew,5
Jane Curtin,Catherine Farley,5
Tom Davis,Steve Foom,5
Bill Murray,David Susskind,5
Harry Shearer,Lloyd Simmons,5
Don Novello,Father Guido Sarducci,5
Jane Curtin,Rodney's wife,5
Bill Murray,clerk,5
Don Novello,Father Guido Sarducci,5
Rodney Dangerfield,Rodney Davis,5
Jane Curtin,ex-wife,5
Bill Murray,Yale,5
Laraine Newman,Tracy,5
Gilda Radner,Mary,5
Alan Zweibel,waiter,5
Garrett Morris,Dwight Jenkins,5
Bill Murray,Mark Nagel,5
Laraine Newman,Sandy Smith,5
Harry Shearer,Curt Gowdy,5
Rodney Dangerfield,Dick Hertz,5
Rob Morrow,juror,5
Peter Aykroyd,juror,5
Jane Curtin,stenographer,5
Jim Downey,juror,5
Brian Doyle-Murray,Milton Crotchie,5
Tom Gammill,juror,5
Franne Lee,juror,5
Garrett Morris,bailiff,5
Andy Murphy,juror,5
Bill Murray,attorney,5
Laraine Newman,attorney,5
Sarah Paley,juror,5
Max Pross,juror,5
Harry Shearer,judge,5
Rodney Dangerfield,inspector,5
Garrett Morris,inspector,5
Bill Murray,inspector,5
Gilda Radner,maid,5
Lucie Lancaster,Aunt Margie,5
Anne Beatts,makeup artist,5
Brian Doyle-Murray,makeup artist,5
Tom Gammill,makeup artist,5
Max Pross,makeup artist,5
Kirk Douglas,Spartacus,5
Peter Aykroyd,warrior,5
Jane Curtin,Joan Face,5
Tom Davis,Flavius,5
Jim Downey,Marcus,5
Brian Doyle-Murray,Quintus,5
Mitchell Laurance,warrior,5
Garrett Morris,Malcolm McClendon,5
Bill Murray,pilot,5
Nil Nichols,warrior,5
Harry Shearer,Donald Erskine,5
Kirk Douglas,Colonel Lloyd D. Westman,5
Peter Aykroyd,taste bud,5
Tom Davis,taste bud,5
Garrett Morris,Anwar Sadat,5
Bill Murray,Captain Steve McCleod,5
Bill Murray,theme song singer,5
Laraine Newman,Nicole Westman,5
Harry Shearer,general,5
Harry Shearer,Ronald Reagan,5
Kirk Douglas,Harry Lieberman,5
Bill Murray,Nick,5
Gilda Radner,Selma Lieberman,5
Alan Zweibel,Rabbi Teplitz,5
Jim Downey,Wendell Bush,5
Bill Murray,Claude Connolly,5
Paul Shaffer,Dennis Crane,5
Harry Shearer,Tom Snyder,5
Gilda Radner,Arleeen,5
Don Novello,Father Guido Sarducci,5
Gilda Radner,Rhonda Weiss,5
Elliott Gould,Mr. Burton,5
Jane Curtin,moderator,5
Tom Davis,Edgar Price,5
Brian Doyle-Murray,Jody Powell,5
Tom Gammill,citizen,5
Lee Mayman,citizen,5
Bill Murray,Ted Kennedy,5
Laraine Newman,Mrs. Cavanaugh,5
Sarah Paley,citizen,5
Max Pross,citizen,5
Alan Zweibel,citizen,5
Elliott Gould,bear,5
Elliott Gould,Uncle Barry,5
Peter Aykroyd,hockey player,5
Peter Aykroyd,Pierre,5
Jane Curtin,Gilda,5
Garrett Morris,Oswald,5
Bill Murray,mounty,5
Bill Murray,Dad,5
Laraine Newman,The Bad Lady of the Northeast,5
Gilda Radner,Jennifer,5
Harry Shearer,The Incredible Man,5
Don Novello,Father Guido Sarducci,5
Elliott Gould,Coach Edwards,5
Peter Aykroyd,epilogue narrator,5
Tom Davis,Professor Clotworthy,5
Al Franken,Roone Arledge,5
Yvonne Hudson,Yvonne,5
Garrett Morris,Matoose Rose,5
Bill Murray,Mike Curb,5
Laraine Newman,Laurie Schindler,5
Sarah Paley,cheerleader,5
Gilda Radner,cheerleader,5
Alan Zweibel,guard,5
Tom Davis,caller,5
Jim Downey,caller,5
Brian Doyle-Murray,caller,5
Al Franken,caller,5
Yvonne Hudson,caller,5
Rosie Schuster,"Margaret, caller",5
Paul Shaffer,Peter Killing,5
Harry Shearer,Lou Follet,5
Elliott Gould,genie,5
Peter Aykroyd,police officer,5
Al Franken,police officer,5
Garrett Morris,Curtis,5
Don Novello,Father Guido Sarducci,5
Jane Curtin,Mrs. Kramer,5
Bill Murray,judge,5
Harry Shearer,Mr. Kramer,5
Akira Yoshimura,lawyer,5
Chevy Chase,Gerald Ford,5
Jane Curtin,Betty Ford,5
Al Franken,Henry Kissinger,5
Chevy Chase,waiter,5
Bill Murray,Pre-Chew Charlie,5
Laraine Newman,waitress,5
Gilda Radner,waitress,5
Chevy Chase,FBI agent,5
Jane Curtin,Miss Hathaway,5
Tom Davis,congressman,5
Garrett Morris,FBI agent,5
Bill Murray,Mudhad Asad,5
Laraine Newman,Fatima Asad,5
Don Novello,Abdul Asad,5
Gilda Radner,Granny,5
Chevy Chase,Dick Baxter,5
Jane Curtin,Carol,5
Garrett Morris,Haywood Jones,5
Bill Murray,Woodward Parker,5
Laraine Newman,Linda Martino,5
Gilda Radner,Janice,5
Peter Aykroyd,model,5
Mitchell Laurance,model,5
Nil Nichols,model,5
Harry Shearer,Mr. Blackwell,5
Bill Murray,Fred,5
Harry Shearer,butler,5
Akira Yoshimura,tribesman,5
Don Novello,Father Guido Sarducci,5
Akira Yoshimura,guard,5
Jim Downey,Craig,5
Teri Garr,Mrs. Vogler,5
Tom Davis,John Connally,5
Jim Downey,George Bush,5
Brian Doyle-Murray,Howard Baker,5
Garrett Morris,police officer,5
Bill Murray,Ted Kennedy,5
Laraine Newman,Rosalynn Carter,5
Gilda Radner,Kimberly,5
Teri Garr,Bitsy Brewster,5
Peter Aykroyd,Witty,5
Jane Curtin,Winky Reynolds,5
Jim Downey,Cottie,5
Tom Gammill,Biddle Pemberton,5
Garrett Morris,matron,5
Bill Murray,Daddy,5
Laraine Newman,Gloria Vanderbilt,5
Gilda Radner,Muffin Weinstein,5
Harry Shearer,Vic Ricker,5
Peter Aykroyd,Scott Gunderson,5
Teri Garr,Sue Perron,5
Jane Curtin,Christina,5
Yvonne Hudson,commercial actress,5
Garrett Morris,commercial actor,5
Bill Murray,Don,5
Don Novello,Sal,5
Harry Shearer,John Kinchlow,5
Teri Garr,Katie,5
Peter Aykroyd,local,5
Jane Curtin,Molly,5
Garrett Morris,Mr. Potato Head,5
Bill Murray,"Ronnie Bateman , Sean McGinty",5
Laraine Newman,Lady Pinth-Garnell,5
Sarah Paley,local,5
Max Pross,local,5
Gilda Radner,maiden,5
Tom Schiller,local,5
Teri Garr,Cheryl Kirsch,5
Jane Curtin,Carol,5
Bill Murray,Frank Mahoney,5
Laraine Newman,Paula Kirsch,5
Gilda Radner,Marilyn Mazelman,5
Harry Shearer,Leon,5
Walter Williams,Miss Sally,5
Walter Williams,Mr. Bill,5
Walter Williams,Mr. Hands,5
Tom Davis,Omar Torrijos,5
Al Franken,Henry Kissinger,5
Garrett Morris,Anwar Sadat,5
Bill Murray,Mohammad Reza Pahlevi,5
Laraine Newman,Farrah Pahlevi,5
Don Novello,assistant,5
Gilda Radner,Baba Wawa,5
Paul Shaffer,Robert Vesco,5
Ted Knight,Roger Kramer,5
Jane Curtin,Amy Hoben,5
Bill Murray,Bob Logan,5
Laraine Newman,"Karen, secretary",5
Gilda Radner,Darlene Crane,5
Ted Knight,Bob Kopp,5
Gilda Radner,Roseanne Roseannadanna,5
Ted Knight,Mr. Dunwoody,5
Peter Aykroyd,shepherd,5
Jane Curtin,Enid Loopner,5
Tom Davis,wise man,5
Jim Downey,shepherd,5
Al Franken,Barry,5
Tom Gammill,shepherd,5
Yvonne Hudson,sheep,5
Garrett Morris,Grant Robinson Jr.,5
Bill Murray,Todd DiLaMuca,5
Laraine Newman,Belinda,5
Nil Nichols,cow,5
Sarah Paley,sheep,5
Max Pross,shepherd,5
Gilda Radner,Lisa Loopner,5
Paul Shaffer,Artie,5
Harry Shearer,angel,5
Alan Zweibel,donkey,5
Garrett Morris,Sammy Davis Jr.,5
Teri Garr,waitress,5
Peter Aykroyd,Joe,5
Ted Knight,grandpa,5
Peter Aykroyd,performer,5
Al Franken,delivery man,5
Garrett Morris,performer,5
Jane Curtin,Dr. Inger Yensin,5
Bill Murray,patient,5
Tom Schiller,artist,5
Brian Doyle-Murray,gypsy,5
Mitchell Laurance,gypsy,5
Garrett Morris,Mr. Spencer,5
Max Pross,guy in closet,5
Gilda Radner,Jenny,5
Martin Sheen,Mr. Peskin,5
Jane Curtin,Mrs. Peterson,5
Garrett Morris,Mr. Shamblis,5
Bill Murray,Vito de Longpre,5
Gilda Radner,Mrs. Gaylord,5
Harry Shearer,Ed,5
Don Novello,Father Guido Sarducci,5
Martin Sheen,Josh Caine,5
Doc Zorthian,Marlon Brando,5
Jane Curtin,Lynn Memily,5
Tom Davis,Gary Kreps,5
Al Franken,Phil,5
Garrett Morris,Herbert Rice,5
Bill Murray,Francis Ford Coppola,5
Laraine Newman,Andrea,5
Gilda Radner,Janine,5
Harry Shearer,Herb Carp,5
Akira Yoshimura,extra,5
Martin Sheen,Robert Conrad,5
Brian Doyle-Murray,Harland Conrad,5
Martin Sheen,Ernie,5
Peter Aykroyd,renter,5
Tom Davis,window washer,5
Tom Gammill,caroler,5
Lee Mayman,caroler,5
Garrett Morris,Curtis Washington,5
Bill Murray,pizza delivery man,5
Laraine Newman,superintendent,5
Sarah Paley,caroler,5
Gilda Radner,Jehovah's witness,5
Liz Welch,renter,5
Martin Sheen,Bruce Jenner,5
Bill Murray,attorney,5
Laraine Newman,Chrystie Crownover,5
Harry Shearer,attorney,5
Tom Davis,Dr. Thomas J. Davis,5
Peter Aykroyd,director,5
Jane Curtin,singer,5
Tom Davis,assistant,5
Garrett Morris,James Brown (I),5
Laraine Newman,singer,5
Gilda Radner,singer,5
Paul Shaffer,Don Kirshner,5
Howard Hesseman,Bob Lewis,5
Jane Curtin,Miss Hathaway,5
Garrett Morris,Lidell Stokes,5
Bill Murray,Mudhad Asad,5
Laraine Newman,Fatima Asad,5
Don Novello,Abdul Asad,5
Gilda Radner,Granny,5
Garrett Morris,Chico Escuela,5
Howard Hesseman,Jerome,5
Bill Murray,Scott,5
Gilda Radner,Susan,5
Bill Murray,Ken Bleiman,5
Harry Shearer,Steve Marvin,5
Harry Shearer,Walter Cronkite,5
Howard Hesseman,clerk,5
Jane Curtin,Barbara Kipnis,5
Bill Murray,Steve Kipnis,5
Gilda Radner,Rosa Santangelo,5
Laraine Newman,Sherry,5
Bea Arthur,Dr. Jensen,5
Jane Curtin,Grace,5
Bill Murray,Larry Anderson,5
Bill Murray,theme song singer,5
Laraine Newman,Bambi,5
Gilda Radner,Irene Anderson,5
Harry Shearer,Ted,5
Tom Davis,Tommy,5
Bill Murray,Don Clifford,5
Harry Shearer,general,5
Bea Arthur,Aunt Judy,5
Jane Curtin,Susan,5
Bill Murray,Bobby,5
Laraine Newman,cousin,5
Paul Shaffer,Andy,5
Bea Arthur,Rosemary O'Connell,5
Gilda Radner,Connie Carson,5
Harry Shearer,Tom Clay,5
Garrett Morris,Greg Dobson,5
Bill Murray,Danny Dare,5
Gilda Radner,Margie Pantelle,5
Paul Shaffer,Andrew Mazelle,5
Harry Shearer,Teddy Naddler,5
Walter Williams,Miss Sally,5
Walter Williams,Mr. Bill,5
Walter Williams,Mr. Hands,5
Peter Aykroyd,Beatalo,5
Garrett Morris,Beatalo,5
Bill Murray,"""Rizzy"" Baldero",5
Tom Schiller,Beatalo,5
Paul Shaffer,Beatalo,5
Yvonne Hudson,protestor,5
Mitchell Laurance,protestor,5
Sarah Paley,protestor,5
Max Pross,guard,5
Alan Zweibel,protestor,5
Tom Gammill,guard,5
Mitchell Laurance,guard,5
Matt Neuman,protestor,5
Nil Nichols,guard,5
Max Pross,guard,5
Alan Zweibel,protestor,5
Bill Murray,Honker,5
Gilda Radner,Sue,5
Buck Henry,Tom Brundidge,5
Anne Beatts,Bailey Brundidge,5
Tom Davis,Carl Bailey,5
Jim Downey,Brundidge Bailey,5
Laraine Newman,innkeeper,5
Nil Nichols,Brundidge Brundidge,5
Buck Henry,Marshall DiLaMuca,5
Jane Curtin,Enid Loopner,5
Bill Murray,Todd DiLaMuca,5
Gilda Radner,Lisa Loopner,5
Al Franken,Jack Van Arks,5
Don Novello,Father Guido Sarducci,5
Yvonne Hudson,Trish Conklin,5
Garrett Morris,Stan Conklin,5
Gilda Radner,Lucille Ball,5
Buck Henry,grandfather,5
Al Franken,grandson,5
Laraine Newman,Debbie,5
Gilda Radner,grandmother,5
Harry Shearer,record narrator,5
Buck Henry,Ed Rosen,5
Jane Curtin,Loretta,5
Garrett Morris,Algonquin J. Calhoun,5
Bill Murray,Hampton Jitney,5
Laraine Newman,Muffy Barber,5
Harry Shearer,Dan Brewster,5
Tom Davis,man in crosswalk,5
Al Franken,man in crosswalk,5
Peter Aykroyd,campaigner,5
Jane Curtin,Joan Kennedy,5
Tom Davis,campaigner,5
Jim Downey,Dave Powers,5
Tom Gammill,campaigner,5
Garrett Morris,campaigner,5
Bill Murray,Ted Kennedy,5
Laraine Newman,Rose Kennedy,5
Max Pross,campaigner,5
Liz Welch,campaigner,5
Jane Curtin,recorded lament,5
Garrett Morris,recorded lament,5
Bill Murray,recorded lament,5
Laraine Newman,recorded lament,5
Sarah Paley,mourner,5
Alan Zweibel,corpse,5
Bill Russell,Curtis Lewis,5
Jane Curtin,Mrs. Crane,5
Garrett Morris,Mrs. Lewis,5
Bill Murray,theme song singer,5
Jane Curtin,Ann Landers,5
Tom Davis,John,5
Garrett Morris,Jack,5
Gilda Radner,Barbara,5
Paul Shaffer,Uncle Jack,5
Tom Schiller,Cha Dawan,5
Gilda Radner,Kimba Kao,5
Peter Aykroyd,orderly,5
Mitchell Laurance,orderly,5
Harry Shearer,Tom Clay,5
Eric Idle,salesman,5
Jane Curtin,Angelica,5
Laraine Newman,Juanita,5
Gilda Radner,Conchita,5
Eric Idle,Prince Charles,5
Harry Shearer,Gerald Hacker,5
Paul Shaffer,Danny Kreutzman,5
Gilda Radner,Roseanne Roseannadanna,5
Eric Idle,Kevin,5
Peter Aykroyd,performer,5
Tom Davis,performer,5
Bill Murray,Susie's father,5
Laraine Newman,Susie,5
Gilda Radner,Jenny,5
Eric Idle,Nigel Quist,5
Jane Curtin,Joan Face,5
Bill Murray,Greg Malone,5
Andy Kaufman,Elvis,5
Laraine Newman,Dorothy Haagen,5
Steve Martin,Pope John Paul II,5
Peter Aykroyd,guard,5
Jane Curtin,Jerry's guest,5
Tom Davis,guard,5
Jim Downey,cleaner,5
Al Franken,cardinal,5
Garrett Morris,doorman,5
Andy Murphy,cardinal,5
Bill Murray,Jerry Eldini,5
Laraine Newman,Sister Francis Mary Bryson,5
Gilda Radner,Jeanine Deckers,5
Tom Schiller,monk,5
Jim Downey,Craig,5
Steve Martin,Señor Lopez,5
Bill Murray,Paul,5
Gilda Radner,Charlene,5
Steve Martin,Centurion Likus Flavius,5
Peter Aykroyd,guard,5
Jane Curtin,Mrs. Gunderic,5
Tom Davis,lieutenant,5
Al Franken,Brad Gunderic,5
Mitchell Laurance,guard,5
Bill Murray,Mr. Gunderic,5
Gilda Radner,pizza delivery woman,5
Don Novello,Father Guido Sarducci,5
Steve Martin,Henry Edelman,5
Garrett Morris,robber,5
Laraine Newman,Carole King,5
Paul Shaffer,Don Kirshner,5
Steve Martin,Pat Hayes,5
Jane Curtin,Audrey Peart Dickman,5
Garrett Morris,Clevon Brown,5
Bill Murray,David Susskind,5
Steve Martin,cupid,5
Harry Shearer,emcee,5
Walter Williams,Miss Sally,5
Walter Williams,Mr. Bill,5
Walter Williams,Mr. Hands,5
Steve Martin,tourist,5
Bill Murray,tourist,5
Walter Williams,audience member,4
Walter Williams,Mr. Bill,4
Walter Williams,Mr. Hands,4
Bill Murray,Ray,4
Buck Henry,Mr. Dantley,4
John Belushi,Samurai Futaba,4
Buck Henry,John Dean,4
