Non-Counted Role Played,Count #
Pete Davidson,Patrick McGrath,41
Kenan Thompson,beaver,41
Beck Bennett,Jeremy,41
Pete Davidson,Steve,41
Kenan Thompson,Willie,41
Tracy Morgan,Woodrow,41
Tracy Morgan,Clockmaker Bernard,41
Aidy Bryant,Spinster Judith,41
Taran Killam,Pastor Danes,41
Kate McKinnon,Schoolmarm,41
Bobby Moynihan,Farmer Thomas,41
Jon Rudnitsky,Abernathy,41
Sasheer Zamata,Cheesemaker Brenda,41
Taran Killam,David,41
Sasheer Zamata,Karen,41
Tracy Morgan,host,41
Vanessa Bayer,"Grace S., caller",41
Aidy Bryant,"Rebecca S., caller",41
Pete Davidson,"Theo S., caller",41
Pete Davidson,Young Osama bin Laden,41
Taran Killam,Owen Wilson,41
Kyle Mooney,Chuck Norris,41
Bobby Moynihan,Steven Seagal,41
Jay Pharoah,Chris Tucker,41
Kenan Thompson,host,41
Sasheer Zamata,The Chief,41
Tracy Morgan,Astronaut Jones,41
Demi Lovato,Martiana,41
Kate McKinnon,engineer,41
Vanessa Bayer,Elisabeth Hasselbeck,41
Pete Davidson,Jason Chaffetz,41
Taran Killam,Steve Doocy,41
Kate McKinnon,Debbie Wasserman Schultz,41
Bobby Moynihan,Brian Kilmeade,41
Amy Schumer,Becka,41
Vanessa Bayer,Carla,41
Taran Killam,Mark,41
Amy Schumer,Ms. Dayworth,41
Aidy Bryant,adult film girl,41
Kyle Mooney,Ricky,41
Jay Pharoah,Solomon,41
Kate McKinnon,Frida Santini,41
Amy Schumer,actress,41
Bill Corsair,tourist,41
Taran Killam,actor,41
Kyle Mooney,Jerry,41
Kenan Thompson,tour guide,41
Amy Schumer,Amy Merryweather Sherman,41
Aidy Bryant,Jan Krang,41
Pete Davidson,Rick,41
Leslie Jones,Karen,41
Kyle Mooney,MC Strategy,41
Bobby Moynihan,councilor,41
Cecily Strong,councilor,41
Kenan Thompson,Gary Loomis,41
Amy Schumer,Jessie,41
Vanessa Bayer,Theresa,41
Taran Killam,Donald Trump,41
Cecily Strong,Melania Trump,41
Vanessa Bayer,Rachel Dolezal,41
Beck Bennett,Eric Murphy,41
Aidy Bryant,Kim Davis,41
Michael Che,Meek Mill,41
Pete Davidson,Johnny Chase,41
Colin Jost,Vincent Chase,41
Taran Killam,Walter Palmer,41
Kate McKinnon,Martin Shkreli,41
Kyle Mooney,Pope Francis,41
Bobby Moynihan,Jared Fogel,41
Bobby Moynihan,Josh Duggar,41
Jay Pharoah,Drake,41
Jon Rudnitsky,Turtle,41
Kenan Thompson,Pizza Rat,41
Sasheer Zamata,Lenny Kravitz,41
Miley Cyrus,Roxane Gilmore,41
Beck Bennett,Jim Gilmore,41
Taran Killam,Rick Santorum,41
Kate McKinnon,Janet Huckabee,41
Bobby Moynihan,Mike Huckabee,41
Cecily Strong,Karen Santorum,41
Miley Cyrus,Leelee Gilford,41
Kate McKinnon,Lindy Patterson,41
